abstract,label
"The release of nerve gas in a Tokyo subway and attempted releases of biological agents by the Aum Shinrikyo cult have demonstrated the willingness and ability of modern-day terrorists to use unconventional weapons. Unlike explosive weapons, the use of biologic weapons may only become apparent once people become ill. The detection and response to these man-made outbreaks will occur initially at the medical and public health levels. Therefore, the Centers for Disease Control and Prevention and its partners are strengthening their response, disease detection, diagnostic, and communication capabilities to better protect the nation's citizens against biological or chemical terrorism. Language: en",MEDTECH
"As a consequence SNPs are of great value to biomedical research and in developing pharmacy products. This being said, the decision whether a disclosed use shows a satisfactory degree of substantial and specific utility remains a delicate one. The application of these criteria to new uses of known products may follow a literal interpretation of the patent eligibility requirements, along the lines of United States patent law in this context,215 and without resorting to complex legal fictions as the EPC does.",MEDTECH
"The bulk of aquaculture production will continue to originate from Asian countries, which account for about 88% of world production. China will remain the main producer with a share of 62% of total production. China, India and Indonesia are expected to represent the majority of growth in quantity terms.",AGRITECH
"The expenses for drinking water also include a charge to cover groundwater mapping by the counties, of which the households' contribution is expected to be ca. The cost of one m3 of water is typically DKK 4-6. On average households pay 4000 DKK per year for water consumption and wastewater disposal (Hasler etal.",ENVIROTECH
"The PROTAR (Wastewater Treatment Program) programme prioritises wastewater treatment works that belong to inter-municipal systems and does not provide support for rehabilitating a work before five years. Investments to increase efficiency increased (in constant 2008 prices) from 2002-2008 from MXN 1.5 billion to MXN 4.0 billion (CONAGUA, 2011c). However, this only represents an increase from 11.5% to 13.6% of the total sub-sector investments.",ENVIROTECH
"Examples include concentrations of surgical instrument firms in Sialkot (Pakistan), ceramic tiles in Santa Catarina (Brazil), metal working in Kumasi (Ghana), and wine in Cape Town (South Africa). In Turkey, Gaziantep has undertaken heritage resto-and rehabilitation to revitalize the tourism industry. Dubai is investing in higher education in engineering and information technology. In Tennessee, US, the city of Chattanooga incorporates endogenous development in its multi-faceted economic development-driven city plan prepared in response to loss of manufacturing jobs in the 1980s.",MANUFACTURING
"About 73,000 credits were issued, and the credits were purchased by the World Bank’s BioCarbon Fund, which generates income for Humbo residents (World Bank, 2012). The Sustainable Land Management (SLM) programme was initiated by the Government of Ethiopia in collaboration with donors (e.g. World Bank, Finland, EU and Germany) and other stakeholders to reverse land degradation and improve agricultural productivity. This kind of programme could form the core of any local green economy - protecting the natural assets that underpin development and livelihoods.",AGRITECH
"The following are some practical examples of actions that can be implemented to improve energy efficiency. Climate resiliency should also be included to ensure that these energy efficient buildings are located away from rising sea levels, storm surges and floods, and can withstand cyclones. These could be mandatory for new homes.",CLEAN_ENERGY
"Elements of the day-to-day management may be allocated to private contractors. This approach involves community-driven investment, and it is described in more detail in Section 1.5, where alternative investment approaches are discussed. The government's experience in funding, owning and running broadband networks is also an important consideration when deciding which investment approach should be taken. The key advantages and disadvantages of the investment approaches are summarized in Table 1.2.",DIGITAL_INFRA
"In fact, the results of the two year EU-wide project point to unclear regulatory frameworks and a persistent lack of trust among industry actors as the two main barriers to cooperation. This should not be misunderstood as a call for more regulation. Instead, it is a call for better, more balanced and overall more sensible regulatory frameworks on national and international levels. The most important areas to address in cross-sectoral regulatory collaboration are common market definitions, common standards, a balanced approach to data flows in smart energy networks and ensuring their cybersecurity.",DIGITAL_INFRA
"A UPPO consists of 35 cows, an animal enclosure, organic fertiliser processing tool, simple compost house, fermentation tank and three wheeler vehicles. Each UPPO is capable of producing 135 tonnes of organic fertiliser per year from livestock manure. As at the end of 2009,1 345 UPPOs had been distributed.",AGRITECH
"Furthermore, because of their success in disbursing funds, there is a risk that revolving funds might crowd out commercial sources from serving water and wastewater providers, especially since the volume of funds made available through this mechanism has recently been increased by the US stimulus package (Chapter 4). Bond banks also have the capacity to prioritise development projects according to their financial profitability. Developing the more profitable projects first can secure the initial capital and generate new sources of revenues, which can be used to mobilise new financing for developing a second generation of projects. This process can be repeated several times, so as to increase the number of projects financed in such a way.",ENVIROTECH
"For marine ecological impacts from emissions to water, robust impact assessment methods are in the early stage of development. In general, unresolved issues may be exemplified by contradictory results for toxic effects of long-term metal releases, as discussed in Pettersen and Hertwich (2008), and effects of particle emissions in (Veltman et al., This is unfortunate for LCA research on offshore wind power, as there are operations associated with offshore wind power taking place in ocean waters that must be modelled.",CLEAN_ENERGY
"Data is the most recent available. This suggests there is scope for fruitful collaboration between policymakers in the ICT and education sectors to work closely and leverage mutual resources to improve digital skills. By early 2017,92% of the population was covered by the latest 3G mobile broadband technologies so access is not a significant barrier.142 In terms of affordability, Rwanda boasts the eighth cheapest mobile Internet price among LDCs at US$2.54 for 500 MB per month according to the ITU basket.",DIGITAL_INFRA
"It then provides an overview of OECD’s framew'ork for financing water resources management and uses this as a basis to analyse existing financing arrangements for water management in the Netherlands and identify opportunities to improve financial sustainability. Assessing total water management costs is not a trivial task because of the many different parties involved in water management (see Chapter 1), which have specific functions, responsibilities, budgets and ways of financing their expenses. This includes EUR 1 292 million of costs for w'astewater treatment by the regional water authorities and EUR 1 360 of costs for collection and discharge of rainwater and wastewater by municipalities. It also includes EUR 1 370 of expenditure by drinking water companies (which in part consists of costs related to the purification of poor quality w'ater).",ENVIROTECH
"The study found that 5 per cent of adults suffer from bronchial asthma, 16 per cent from bronchitis, 8.2 per cent from pulmonary tuberculosis and 7 per cent from chest infection (Parikh et al., In 2005, the independent advisory body headed by Professor Jeffrey Sachs, presented its final recommendations to the Secretary-General in a synthesis volume entitled, Investing in Development: A Practical Plan to Achieve the Millennium Development Goals. On the future outlook, see Global Wind Energy Council, US and China in race to the top of global wind industry, 2 February 2009, available at: www.gwec.net/index.php?id=30&tx_ttnews[tt_news]=177. Interview with Steve Sawyer, secretary of the Global Wind Energy Council), January 8, 2008, available at: www.reuters.com/article/latestCrisis/ idUSL0773451.",CLEAN_ENERGY
"This also entails giving difficult cases sufficient resources and conserving resources in cases where their use would be sub-optimal. Furthermore, changes in payment systems could have long-term consequences for technology use, medical practices and costs over time (McClellan, 2011). They have, however, not been effective in avoiding unnecessary referrals and offering definitive care. Between 1990 and 2008, the number of non-diagnostic referrals to outpatient specialist care increased by more than four times, while the number of patients referred to inpatient care per physician increased by almost 80% (Gaal et al.,",MEDTECH
"Meeting this challenge will require harnessing all available energy resources and technologies, according to local circumstances, coupled with energy efficiency measures, especially to upgrade grids and reduce transmission losses. As well as reflecting local endowments and resource potential, the energy mix should evolve in such a way as to kick-start the structural transformation process, while maximizing the development opportunities within the energy value chain. While fossil-fuel-based generation is likely to play a continuing role where substantial sunk costs have already been incurred and in countries with significant reserves, a progressive move towards renewable technologies could offer substantial development opportunities as well as environmental co-benefits.",CLEAN_ENERGY
"Hometown associations have subsequently become involved in funding hospitals, schools and public infrastructure (a role analogous to that of many NGOs, such as Medecins Sans Frontieres and the Red Cross, which have worked with these hometown associations). At the same time, mobile phones and internet access, funded by such associations, are opening up a new virtual realm of diagnosis and healing between continents. Such caravans and ambulances serve equity, by serving people who do not have kin in Europe who can send remittances to cover medical costs, but they are there only a short time.",DIGITAL_INFRA
"The work of the Partnership is described at http://www.itu.int/en/ITU-D/ Statistics/Pages/intlcoop/partnership/members.aspx. Indeed, these price reductions reflect the particular situation in several developing countries, in which fixed broadband used to be a premium service (with prices corresponding to more than 100 per cent of GNI p.c.) The effect of these new offers was to drive prices down drastically in the year in which they became available. The ECOSOC resolutions can be found at http://unctad.org/en/Pages/CSTD/WSIS-Resolutions.aspx.",DIGITAL_INFRA
"The small variation between the coefficients of broadband impact in both specifications suggests the robustness of the following conclusion: an increase in 1 percentage point in broadband penetration would contribute nearly 0.18 percentage points to the employment rate. Of those, it is estimated that broadband deployment, which reached a penetration of 9.78 per cent, contributed in 1.76 percentage points to the employment rate, which amounts to the creation of 114,426 direct and indirect jobs. As more women entered the labor force the average schooling years of the population increased but also increased the number of women unemployed looking for jobs.",DIGITAL_INFRA
"Some 64% is cropland, 15% forest, 14% grassland and ~5% urban/industrial area. Nevertheless, as reported, this range of measures needs to be improved and other measures also need to be introduced. In Hungary, groundwater abstraction regulation is used and effective, water use efficiency measures, monitoring, public awareness, protection zones and wastewater treatment and data exchange need to be improved, and vulnerability mapping, regional flow modeling, good agricultural practices, integration with river basin management, and arsenic treatment or import of arsenic free water are needed.",AGRITECH
"Providing greater opportunities for informal collaborative learning within schools and through peer networks will be important to support continuous professional development. The current lack of a standard process to address an unsatisfactory regular appraisal result means that weaknesses in teaching may not be addressed. Romania should set out a fair, step-by-step response to underperformance, which could include the development of an improvement plan, additional appraisals and ultimately dismissal if performance does not improve.",MANUFACTURING
"Animal livestock dropped dramatically as well, between 2006 and 2008: bovine dropped by one quarter, pigs by some 45 per cent, sheep and goats by 10 per cent and poultry by 25 per cent. Small farms are the most vulnerable and these trends will probably push more rural families into poverty and further intensify migration away from rural areas to the types of extreme climate conditions expected to become more frequent and severe with climate change. The provision of irrigation in appropriate areas within these two zones would provide significant benefits even under current conditions, potentially increasing yields by 1.5 to two or more times as compared with yields without irrigation.",AGRITECH
"In 2017, the estimated share of women using the Internet was 12% lower than the share of men. This gender digital divide is highest in Africa where 25% of men and only 19% of women were using the Internet in 2017. ( However, closing these digital divides require more than infrastructure investments (Broadband Commission for Sustainable Development, 2018(18]).",DIGITAL_INFRA
"Such breakdown of medical, pharmaceutical and other social services can result in death and serious harm to those whose survival depends on them. The size of this vulnerable group may depend on the stage of development of the country and the extent to which the survival of elderly and people with a disability is dependent on the seamless provision of certain critical services. This chapter examines the nature of disaster risk (Roberts J L, 2010), and offers fresh analysis and recommendations for action with special reference to small and island states, to avert and mitigate the wide-ranging service implications of the aftershocks of disasters. Hurricane Irma in Puerto Rico in 2017 resulted in 52 direct deaths plus 82 indirect deaths, with an estimated US$64.76 billion in damage.",MEDTECH
"In short, the model aims to integrate the interests of future generations with the necessity of the present. Based on the triple bottom line approach (i.e., economic, social and environmental), the proposed model increases our understanding of the principles of SRB (i.e., corporate governance, corporate social responsibility and corporate sustainability), the major practices (i.e., corporate philanthropy, socially responsible investment and social enterprise) and the SRB enablers (i.e., technology, innovation, interconnectivity, metrics, stakeholder engagement and government support). In addition, this model addresses the limitations in the existing models and approaches to business, which fail to account for the dynamic interactions between the foundations, principles, practices and enablers of SRB.",DIGITAL_INFRA
"This action line is intended to promote the development of national e-strategies, including the necessary human capacity building, taking into account different national circumstances. It has ensured, in addition, the comprehensive exchange of views, information and experiences among WSIS stakeholders, as well as providing advisory services and technical assistance to developing countries. At the same time the 2014 United Nations E-Government Survey observes a new trajectory in the efforts of governments to put together a national ICT policy and e-government strategy by strengthening institutions and building the capacities of public servants. Collaborative service delivery is now pervasive, where governments, citizens, civil society and the private sector often work together to innovate processes and leverage new technologies.",DIGITAL_INFRA
"The teacher uses a template to provide the answers with a required maximum number of pages per answer. The marking of the portfolio relies on a detailed set of assessment rubrics describing the meaning of Unsatisfactory, Basic, Competent and Outstanding performance across the different aspects assessed within each component. Both academic centres are required to develop a system of automatic marking for multiple-choice questions and to select and train external markers to assess the test open-ended questions and the portfolios. The monetary reward is broadly equivalent to an extra monthly salary per year for ten years (distributed in two annual instalments).",MANUFACTURING
"In this scenario, the atmospheric concentration of GHGs could reach 685 parts per million (ppm). As a result, the global average temperature increase could be 3° C to 6°C above pre-industrial levels by the end of the century, exceeding the internationally agreed goal of limiting it to below 2°C.6 For this reason, clean energy becomes absolutely critical to any strategy to alter these trends. Transforming infrastructure to be LCCR is a critical part of the climate policy challenge because it will lock-in development patterns and because it represents the bulk of the investment needed to achieve the 2°C target.",CLEAN_ENERGY
"Sections 3 to 6 consider, in turn, the measurement of the Connect 2020 Goals concerned with growth, inclusiveness and sustainability of the ICT sector, as well as the monitoring of qualitative targets for innovation and partnership. The proportion of the global population covered by mobile-cellular networks is now over 95 per cent (ITU, 2015a), while the number of mobile-cellular subscriptions has quintupled since WSIS (although this is partly attributable to multiple subscriptions). The growth in fixed-broadband subscriptions illustrated in Chart 1.1 has been more sluggish than that of mobile broadband, with the number of fixed-telephone subscriptions worldwide having fallen over the past decade owing partly to fixed-mobile substitution.",DIGITAL_INFRA
Development co-operation’s support for market conditions can also take the form of encouraging good practices with standard contracts and verification of quality or providing the private sector with the confidence to invest in green growth by insuring the monetization of environmental results. One example of the latter is IDB’s Energy Savings Insurance model which provides compensation to firms if projected financial savings associated with specific energy efficiency technologies are not realized. The country is one of the most affected by climate change — the 2016 World Risk Report ranks it third most at risk worldwide — and has been prone to more frequent and severe extreme weather events over the years.,CLEAN_ENERGY
"In particular, this study additionally considers biofuel budgetary support in Argentina and China. Not included are mandates at state or provincial levels. It should also be noted that the OECD Database has partial country coverage only and hence excludes biofuel support policies, including mandates, in other countries. More specifically this study considers biofuel mandates in Argentina and Malaysia.",CLEAN_ENERGY
"The initiative makes use of various communication channels. It developed and disseminated digital packages in simplified Arabic (and sometimes French) such as CDs, websites and audiotapes. The WRCATI also runs telephone hotlines in some countries, where operators who speak the national language have been trained in answering legal questions and offering advice.",DIGITAL_INFRA
"Investments in an “end-users” system of water distribution networks and sewerage reached only EUR 0.9 billion, with many investments being postponed. The water and wastewater sector was expected to benefit from a further EUR 3.8 billion in investment during the period 2007-13. Average European funding of water and wastewater investment in 2000-06 was 63%, with this share expected to decrease to 50% (calling for greater self-financing of the programme) (GHK, 2006).",ENVIROTECH
"Greater co-ordination among state agencies may well help get several pending projects off the ground. The PND is also missing a more integrated tourism strategy conceived around the development of specific areas as tourism priority economic hubs, allowing for tourism opportunities to be exploited in co-ordination with other policy areas and sectors. Rural areas would lend themselves particularly well to such a strategy, drawing on their connection to the agricultural sector. Yet, the inclusion of mral communities is not perceived as an objective of tourism policy, despite the high potential that exists in making mral communities direct beneficiaries of major tourism attractions around the country.",AGRITECH
"In this article, we examine the dynamic relationship between law, economics, and sustainability. Increased legal regulation is not a sufficient condition for the mitigation of economic and social crises. Corporations are not legally required to respect global social and human rights under international law. In addition, select legal regulations increase social harm through the preservation of corporate financial interests. Laws that attempt to protect social rights at the expense of corporate interests can provoke hostile reactions from the business community. However, recent trends and examples from within the pharmaceutical and information industries suggest a new era of global corporate citizenship where socially responsible organizations achieve profit through pursuing ethical goals.",MEDTECH
"White farmers dominate the latter category. In 1994 the distribution of land in South Africa was estimated to be 87% owned by whites and 13% by blacks. Over nearly two decades, about 7.5% of land or slightly under 8 million hectares had been transferred from white to black ownership under a willing buyer, willing seller scheme applied in the post-apartheid land reforms (Walker and Dubb, 2013).",AGRITECH
"Traditional practices during the first months of neonatal life are common in developing countries, such as Jordan. Many international studies and reports have highlighted the fact that traditional neonatal practices are the cause of high neonatal mortality and morbidity rates in some countries. The aim of the present study was to identify neonatal care practices in Jordan. A descriptive, qualitative research design was used across four Jordanian cities across diverse regions. Forty mothers of neonates were interviewed over a period of 6 months (from January to June 2016). Thematic and content analysis was undertaken following Braun and Clarke's six step analysis. The results indicated that in Jordan, home-based neonatal care comprises non-biomedical practices. Rubbing the neonate's skin with salt, swaddling, prelacteal feeding, and other treatment modalities are common. Further studies are necessary to determine and report on the pros and cons of these practices in regard to neonatal health.",MEDTECH
"Device costs remain a significant barrier to access in Mozambique, which warrants consideration by the USAF to subsidize access to devices, among other options to support access and use. Mozambique's new telecommunications law updates provisions for universal service, which will allow for improved efforts to support community telecentres and other public access solutions. In collaboration with the A4AI-Mozambique Coalition, the INCM (the sector regulator) has developed and is finalizing new proposed infrastructure sharing regulations, expected to be approved in 2017. Despite this delay and the failed attempt with the Digital Dividend spectrum auction (i.e., 800MHz), the Mozambique market is comparatively speaking in a better situation.",DIGITAL_INFRA
"Only a few studies have presented much in the way of formal theoretical justification for the particular lag models they have employed in modelling returns to agricultural research. This table represents a reworked version of Table 5 in Alston et al. ( Until quite recently, it was common to restrict the lag length to be less than 20 years.",AGRITECH
"The server sends regular messages to designated recipients regarding current temperatures, and also warnings when the temperature exceeds critical thresholds. For example, in India, monthly cellular connectivity for connected temperature monitor devices are in the range of around a dollar a month or less per fridge. The most expensive component is often the cell radio, while conversely, the temperature sensors are relatively cheap. In some cases, advantageous mobile cellular terms can be negotiated, resulting in reduced operating costs.",DIGITAL_INFRA
"This is a fundamental step to then move to more systematic public reporting and to appropriately link payment to outcomes, quality and high-value care. It can consist of various data sources such as mortality statistics, specific clinical registries (such as a cancer or diabetes registry), administrative databases, electronic health records (EHRs) and surveys conducted on specific patient groups or households. Depending on the quality and comprehensiveness of the data infrastructure, such data sources can serve as a tool not only to assess volumes of care and inputs within the health care sector, but also to monitor quality in the provision of care (OECD, 2013a).",MEDTECH
"One finding was that for every 20 visitors, birds tend to retreat by 27 metres. This led to the development of sustainability guidelines concerning visitor load regulation, fencing, appropriate signposting and the positioning of telescopes. Further research could help establish visitor volumes that are consistent with maintaining optimal numbers of various species. One of the pillars of Israel’s mitigation efforts is the development of new renewable energy sources.",CLEAN_ENERGY
"After rising slightly until 2005, female participation has declined thereafter in most income categories, but most strikingly among the lower income groups in rural areas. Income quintiles refer to the monthly per capita consumption expenditure of households. More than half of women work as self-employed (for definitions see Annex 1), of which most are unpaid helpers. The large rise in female participation until 2005 and the drop thereafter was among the unpaid self-employed group (unpaid helpers can be agricultural workers within a family, shop assistants or street vendors) (Figure 4).",AGRITECH
"Cases also involving hazards to human health and well-being require more co-ordinated efforts and are treated by the MoEP in co-operation with the NPA and other ministries, including the Ministry of Agriculture and Rural Development and the Ministry of Health. Efforts to limit several outbreaks have included monitoring, awareness-raising initiatives, and targeted treatment and eradication of invasive species. They are reflected in Israel’s guiding principles for sustainable development and are an important part of the National Biodiversity Strategy (NBS).",AGRITECH
"There is, however, concern that the benefits of technology may not be available to all. However, innovation is not limited to new breakthroughs: most innovation involves incremental improvements and adaptations of existing technologies, processes and organizational structures. China and India, in particular, have become global leaders in some sustainable technologies, such as solar and wind technology, and electric and hybrid-electric vehicles, in part because they were able to improve existing technologies and production processes. Some LDCs have also begun to develop domestic technological capacities and successfully build new industries, such as the solar photovoltaic industry in Bangladesh. This technology makes transactions possible without an intermediary and thus has the potential to reduce service costs and increase financial inclusion. However, it is important to note that blockchain services are still in early stages and a number of issues, including data and privacy protection, regulatory oversight, and the overall contribution to sustainable development need further discussion, especially at the international level due to their cross-border nature.",CLEAN_ENERGY
"Next-generation ICT infrastructure will power many digital solutions, from smart cities to public & financial services. And policy-makers need assistance in strengthening digital development strategies and adopting an enabling environment. An ITU/UNCTAD survey found that less than 25% national broadband strategies include details on infrastructure investments8.",DIGITAL_INFRA
"Some are mainly involved in the production of knowledge, others are more closely tied to firms and industrial innovation, and still others deal with public goods, such as standards, weather forecasting or developing test methods. Ideally, evaluation should help determine the economic effects of public investment in R&D and innovation, such as the contribution to growth, and the social impacts, such as better health outcomes. Moreover, policy makers increasingly want public investment to help meet global challenges, such as energy, security and climate change.",MANUFACTURING
"The IAEA uses ICTs to support Member States in improving the functionality, safety and security of existing and new Nuclear Power Plants (NPPs) to ensure Affordable and Clean Energy (SDG 7) and improve Industry, Innovation and Infrastructure (SDG 9) by managing complex nuclear lifecycle technology systems. However, the applications of nuclear techniques - and the IAEA's work -in fact extend far beyond just nuclear energy. The IAEA's work extends into the education and training of health professionals in nuclear medicine techniques (SDGs 3 and 4 on health and education, respectively), monitoring of marine contaminants (SDG 14).",CLEAN_ENERGY
"The Central African Republic, D.R. Congo and South Sudan suffer from unstable governance and rank 3rd, 7th and 1st in the world in their fragility.22 However, a lack of competition and fragility is not necessarily a guarantee of the worst performance. Somalia is ranked 2nd for fragility and Ethiopia has no competition but they both have mobile subscriptions penetration of over 50. In these cases, other factors have helped to offset the liabilities. Somalia has a vibrant and competitive mobile sector and in Ethiopia, the government has invested a notable amount of resources into telecommunications.",DIGITAL_INFRA
"Maps by NIVA (Hege Gundersen). In the IPBES context, the word ""nature"" covers the full diversity of life: The living organisms including humans, along with their interactions with each other and their environment. Biodiversity, short for biological diversity, involves variation in life at all levels of organization and includes variability in ecosystems and their functions, in species richness and their functional properties, in genetic diversity and in biotic interactions (Fig.",DIGITAL_INFRA
"A majority wished for local government support in defining and instituting sustainability standards, along with help from large-scale multinationals in their supply chains. The greatest confidence was expressed in close-to-the ground collaboration and assistance provided by entities such as Sedex, the UN Global Compact, UNIDO and ITC. While challenging, the spirit on all sides appears more willing than might be expected.",MANUFACTURING
"Employment in agriculture in Chihuahua in 2008 was under 10% of total employment compared to over 20% in 1980 and a national average of 13% (Scott, 2009). In this transition the role of unpaid family labour has declined while part-time paid workers have become more important. Full-time workers are most common on the largest farms.",AGRITECH
"The Medicines and Healthcare Products Regulatoiy Agency (MHRA) as an executive agency of the Department of Health (DH) to enforce the regulations relating to the safety of medicines and medical devices in the UK. The Governments of the devolved nations then work closely with the MHRA For example, The Northern Ireland Adverse Incident Centre acts as a regional centre for reporting and investigating adverse incidents involving medical devices and nonmedical equipment, while MHRA's alerts to NHS Wales are made through the Welsh Government’s Public Health Alert System. Its powers include conducting reviews and carrying out inspections and investigations, and reporting on arrangements by statutory bodies for the purpose of monitoring and improving the quality of the health and personal social services.",MEDTECH
"Based on a review of investment cases from around the world, this chapter identifies best-practice investment strategies and variations from different regions and service markets. It also identifies key lessons for governments, regulators and investors to stimulate investment in broadband networks. Unfamiliar investment cases have been selected deliberately to provide a fresh perspective, and familiar examples that have already been researched extensively have not been used.",DIGITAL_INFRA
"The biggest cyber security priority in this realm is to make sure that there are no “weak points” in the flow of data and network architecture. Some IoT devices are vulnerable to malicious attacks based on their hardware and security properties. With regard to Al, data manipulation is a major threat, especially when thinking about use cases in autonomous driving.",DIGITAL_INFRA
"Such technological changes are occurring at a very rapid pace for an industry accustomed to planning on a 30-40-year time horizon, creating significant uncertainty (Bharath Jairaj, 2016). At the same time, the entry of actors new to the electricity sector, and the active engagement of consumers as a result of these new technologies, raises multiple technical, commercial and regulatory issues, requiring a “whole-system"" approach and fresh thinking about electricity supply chains. The loT is defined by the International Telecommunications Union as a global infrastructure for the information society, enabling advanced services by interconnecting (physical and virtual) things, based on existing and evolving interoperable ICTs.",MANUFACTURING
"Some platforms have also begun to invest in the Internet of Things (loT) devices and cloud computing. While this can be a boon for entrepreneurial firms, it is also generating concerns about data privacy and illicit data mining. They can also allow businesses to develop personalized and targeted strategies for their consumers.",DIGITAL_INFRA
"The idea that “the dykes make up the state” has long shaped Dutch water policy, and managing water affairs remains essentially a core public activity. This is in part due to the highly specific challenge of maintaining w'ater levels at desired levels in extensive reclaimed areas. However, private enterprise has a role in actually implementing many water management activities, such as dredging and the construction of dykes, pumping stations and wastewater treatment plants. This overview is important to understand the institutional set-up that has a direct influence on water governance and financing frameworks in the Netherlands. Territorial decentralisation concerns the provinces and municipalities, which have, in principle, a broad responsibility while functional administrative bodies (e.g. regional water authorities) are responsible for one or more specific tasks.",ENVIROTECH
"Fouquet (2010) compares the drivers of fourteen energy transitions in the means of providing heat, light, mobility and power in the UK over the past millennium. In the majority of cases, better or different energy services drove the transition: “The steam engine enabled entrepreneurs to boost production, not limited by humans or animals or by the location of flowing water. Railways and cars transformed the provision of transport services, allowing a faster service and a more flexible and private form of transport respectively.",CLEAN_ENERGY
"Also, since 2013, more than a hundred new diagnostic and treatment protocols have been developed, with a focus on cardiovascular diseases, 20 types of cancers, paediatrics and trauma care, which are currently being piloted in selected hospitals. Although the rate for women is much lower than for men, both rates are among the highest in the EU. Alcohol control policies introduced in 2007-08, including restrictions on advertising, sales and increases on taxes, resulted in partial and short-lived improvement Alcohol policy is a focus area of the government, and new legislation is coming into effect in January 2018.",MEDTECH
"Investment is more likely to be cost effective in cities that are already close to becoming attractive and productive locations for firms and investors, and in cities that can support investments targeted to industries already interested in locating there. Investment in roads and connectivity based on careful spatial vision will in the long run help to evolve viable secondary cities. Policies targeting spatial investments should on this basis consider not just national but regional economic geography. The upshot is that governments should avoid policies that harm or undermine cities and their economic functioning.",DIGITAL_INFRA
"To date, user orientation of statistics is not sufficient. The accuracy of data on volumes produced and consumed of agricultural commodities, the value of production by commodity, farm structures in terms of ownership and use, the level and structure of rural household incomes (both from agricultural and non-agricultural sources), and on agricultural land is far from adequate. Data collection could be less expensive if combined with a revitalisation of extension and research services.",AGRITECH
